name@price@price_after_sell
'Blueberries' Buckshot | NSWC SEAL@4.11@3.9045
★ Driver Gloves | Imperial Plaid (Field-Tested)@374.98@356.231
★ Driver Gloves | Imperial Plaid (Minimal Wear)@733.07@696.4165
★ Driver Gloves | Imperial Plaid (Well-Worn)@320.00@304.0
★ Driver Gloves | King Snake (Battle-Scarred)@337.50@320.625
★ Driver Gloves | King Snake (Field-Tested)@518.19@492.2805
★ Driver Gloves | King Snake (Minimal Wear)@1809.78@1719.291
★ Driver Gloves | King Snake (Well-Worn)@549.82@522.3290000000001
★ Driver Gloves | Lunar Weave (Battle-Scarred)@100.00@95.0
★ Driver Gloves | Lunar Weave (Field-Tested)@159.56@151.582
★ Driver Gloves | Lunar Weave (Minimal Wear)@779.71@740.7245
★ Driver Gloves | Lunar Weave (Well-Worn)@137.90@131.005
★ Driver Gloves | Overtake (Battle-Scarred)@76.67@72.8365
★ Driver Gloves | Overtake (Field-Tested)@100.54@95.513
★ Driver Gloves | Overtake (Minimal Wear)@269.43@255.9585
★ Driver Gloves | Overtake (Well-Worn)@95.08@90.326
★ Driver Gloves | Queen Jaguar (Battle-Scarred)@72.48@68.856
★ Driver Gloves | Queen Jaguar (Factory New)@985.19@935.9305
★ Driver Gloves | Queen Jaguar (Field-Tested)@96.24@91.428
★ Driver Gloves | Queen Jaguar (Minimal Wear)@214.10@203.39499999999998
★ Driver Gloves | Queen Jaguar (Well-Worn)@84.99@80.7405
★ Driver Gloves | Racing Green (Battle-Scarred)@49.06@46.607
★ Driver Gloves | Racing Green (Factory New)@500.00@475.0
★ Driver Gloves | Racing Green (Field-Tested)@54.80@52.059999999999995
★ Driver Gloves | Racing Green (Minimal Wear)@85.62@81.339
★ Driver Gloves | Racing Green (Well-Worn)@50.26@47.74699999999999
★ Driver Gloves | Rezan the Red (Battle-Scarred)@73.16@69.502
★ Driver Gloves | Rezan the Red (Field-Tested)@85.95@81.6525
★ Driver Gloves | Rezan the Red (Minimal Wear)@231.69@220.10549999999998
★ Driver Gloves | Rezan the Red (Well-Worn)@95.07@90.31649999999999
★ Driver Gloves | Snow Leopard (Battle-Scarred)@447.54@425.163
