name@price_x@price_after_sell_x@price_y@price_after_sell_y@BUY X@SELL Y@profit
★ Huntsman Knife | Case Hardened (Minimal Wear)@285.85@251.54800000000003@308.4@302.232@skinport@csdeals@16.38
★ Huntsman Knife | Crimson Web (Field-Tested)@164.67@144.90959999999998@265.0@259.7@skinport@csdeals@95.03
★ Huntsman Knife | Fade (Factory New)@374.4@329.472@499.95@489.951@skinport@csdeals@115.55
★ Huntsman Knife | Lore (Field-Tested)@184.05@161.964@299.99@293.9902@skinport@csdeals@109.94
★ Huntsman Knife | Lore (Minimal Wear)@211.82@186.4016@375.0@367.5@skinport@csdeals@155.68
★ Huntsman Knife | Marble Fade (Factory New)@344.0@302.72@374.8@367.304@skinport@csdeals@23.3
★ Huntsman Knife | Safari Mesh (Field-Tested)@126.93@111.6984@153.0@149.94@skinport@csdeals@23.01
★ Huntsman Knife | Tiger Tooth (Factory New)@272.25@239.58@335.67@328.95660000000004@skinport@csdeals@56.71
★ Hydra Gloves | Emerald (Well-Worn)@80.37@70.7256@95.0@93.1@skinport@csdeals@12.73
★ Hydra Gloves | Mangrove (Field-Tested)@60.0@52.8@74.99@73.49019999999999@skinport@csdeals@13.49
★ Karambit | Black Laminate (Minimal Wear)@1097.39@965.7032@1220.0@1195.6@skinport@csdeals@98.21
★ Karambit | Damascus Steel (Factory New)@1013.06@891.4928@1150.0@1127.0@skinport@csdeals@113.94
★ Karambit | Fade (Factory New)@2762.3@2430.824@2920.0@2861.6@skinport@csdeals@99.3
★ Karambit | Fade (Minimal Wear)@2624.74@2309.7712@2699.99@2645.9902@skinport@csdeals@21.25
★ Karambit | Night (Field-Tested)@839.0@738.32@879.99@862.3902@skinport@csdeals@23.39
★ Karambit | Rust Coat (Battle-Scarred)@769.0@676.72@859.99@842.7902@skinport@csdeals@73.79
★ Karambit | Stained (Minimal Wear)@933.93@821.8584@965.0@945.7@skinport@csdeals@11.77
★ Karambit | Tiger Tooth (Factory New)@1277.26@1123.9888@1452.0@1422.96@skinport@csdeals@145.7
★ Karambit | Ultraviolet (Minimal Wear)@1020.66@898.1808@1099.99@1077.9902@skinport@csdeals@57.33
Krakow 2017 Challengers Autograph Capsule@24.0@21.12@35.08@34.3784@skinport@csdeals@10.38
★ Kukri Knife@300.0@264.0@400.0@392.0@skinport@csdeals@92.0
★ Kukri Knife | Case Hardened (Field-Tested)@232.38@204.4944@350.71@343.6958@skinport@csdeals@111.32
★ Kukri Knife | Forest DDPAT (Well-Worn)@141.83@124.81040000000002@170.0@166.6@skinport@csdeals@24.77
