name@price_x@price_after_sell_x@price_y@price_after_sell_y@BUY X@SELL Y@profit
★ Classic Knife | Fade (Minimal Wear)@666.87@633.5264999999999@1000.0@880.0@shadowpay@skinport@213.13
★ StatTrak™ Classic Knife | Case Hardened (Minimal Wear)@354.16@336.452@452.72@398.3936000000001@shadowpay@skinport@44.23
P90 | Sunset Lily (Factory New)@37.78@35.891@58.99@51.9112@shadowpay@skinport@14.13
★ StatTrak™ Nomad Knife | Slaughter (Factory New)@599.84@569.848@695.0@611.6@shadowpay@skinport@11.76
★ StatTrak™ Nomad Knife | Case Hardened (Minimal Wear)@1215.0@1154.25@3999.99@3519.9912@shadowpay@skinport@2304.99
★ StatTrak™ Nomad Knife | Case Hardened (Field-Tested)@525.0@498.75@1749.99@1539.9912@shadowpay@skinport@1014.99
★ Survival Knife | Case Hardened (Battle-Scarred)@186.62@177.289@230.76@203.0688@shadowpay@skinport@16.45
StatTrak™ MAC-10 | Stalker (Factory New)@366.0@347.7@475.0@418.0@shadowpay@skinport@52.0
★ Nomad Knife | Safari Mesh (Field-Tested)@173.32@164.654@216.9@190.872@shadowpay@skinport@17.55
★ StatTrak™ Nomad Knife | Case Hardened (Well-Worn)@347.3@329.935@620.0@545.6@shadowpay@skinport@198.3
★ StatTrak™ Skeleton Knife | Slaughter (Minimal Wear)@862.0@818.9@1000.0@880.0@shadowpay@skinport@18.0
★ StatTrak™ Skeleton Knife | Night Stripe (Minimal Wear)@390.0@370.5@599.99@527.9912@shadowpay@skinport@137.99
★ StatTrak™ Paracord Knife | Stained (Battle-Scarred)@162.29@154.17549999999997@213.18@187.5984@shadowpay@skinport@25.31
★ StatTrak™ Skeleton Knife | Case Hardened (Well-Worn)@510.53@485.0035@11999.95@10559.956@shadowpay@skinport@10049.43
★ Skeleton Knife | Urban Masked (Factory New)@456.16@433.352@637.41@560.9208@shadowpay@skinport@104.76
★ StatTrak™ Survival Knife | Stained (Battle-Scarred)@180.11@171.1045@817.99@719.8312@shadowpay@skinport@539.72
★ Paracord Knife | Night Stripe (Factory New)@304.81@289.5695@484.82@426.6416@shadowpay@skinport@121.83
★ Paracord Knife | Stained (Factory New)@230.94@219.393@285.0@250.8@shadowpay@skinport@19.86
★ StatTrak™ Paracord Knife | Urban Masked (Minimal Wear)@165.5@157.225@249.99@219.9912@shadowpay@skinport@54.49
★ Skeleton Knife | Forest DDPAT (Factory New)@396.34@376.523@479.0@421.52@shadowpay@skinport@25.18
★ Nomad Knife | Safari Mesh (Factory New)@220.0@209.0@285.0@250.8@shadowpay@skinport@30.8
AK-47 | Panthera onca (Well-Worn)@217.92@207.024@269.0@236.72@shadowpay@skinport@18.8
StatTrak™ P90 | Cocoa Rampage (Factory New)@2.49@2.3655@14.7@12.936@shadowpay@skinport@10.45
SSG 08 | Threat Detected (Battle-Scarred)@23.01@21.8595@86.72@76.3136@shadowpay@skinport@53.3
G3SG1 | Ancient Ritual (Well-Worn)@5.68@5.396@45.0@39.6@shadowpay@skinport@33.92
R8 Revolver | Phoenix Marker (Well-Worn)@15.65@14.8675@39.0@34.32@shadowpay@skinport@18.67
