name@price@price_after_sell
10 Year Birthday Sticker Capsule@0.72@0.6335999999999999
1st Lieutenant Farlow | SWAT@6.22@5.4736
AUG | Death by Puppy (Well-Worn)@5.66@4.9808
AUG | Eye of Zapems (Battle-Scarred)@3.3@2.904
AUG | Eye of Zapems (Factory New)@12.5@11.0
AUG | Eye of Zapems (Field-Tested)@4.47@3.9335999999999998
AUG | Eye of Zapems (Minimal Wear)@6.59@5.7992
AUG | Eye of Zapems (Well-Worn)@4.25@3.74
AUG | Flame Jörmungandr (Battle-Scarred)@@
AUG | Flame Jörmungandr (Factory New)@@
AUG | Flame Jörmungandr (Field-Tested)@@
AUG | Flame Jörmungandr (Minimal Wear)@476.68@419.4784
AUG | Flame Jörmungandr (Well-Worn)@@
AUG | Fleet Flock (Battle-Scarred)@1.9@1.672
AUG | Fleet Flock (Factory New)@12.3@10.824
AUG | Fleet Flock (Field-Tested)@2.16@1.9008
AUG | Fleet Flock (Minimal Wear)@4.85@4.268
AUG | Fleet Flock (Well-Worn)@1.48@1.3024
AUG | Hot Rod (Factory New)@396.0@348.48
AUG | Hot Rod (Minimal Wear)@@
AUG | Lil' Pig (Battle-Scarred)@23.8@20.944
AUG | Lil' Pig (Factory New)@73.89@65.0232
AUG | Lil' Pig (Field-Tested)@22.0@19.36
AUG | Lil' Pig (Minimal Wear)@43.0@37.84
AUG | Lil' Pig (Well-Worn)@@
AUG | Luxe Trim (Battle-Scarred)@0.07@0.06160000000000001
AUG | Luxe Trim (Factory New)@0.73@0.6424
AUG | Luxe Trim (Field-Tested)@0.08@0.0704
AUG | Luxe Trim (Minimal Wear)@0.23@0.2024
AUG | Luxe Trim (Well-Worn)@0.07@0.06160000000000001
AUG | Midnight Lily (Battle-Scarred)@@
AUG | Midnight Lily (Factory New)@389.63@342.8744
AUG | Midnight Lily (Field-Tested)@500.0@440.0
AUG | Midnight Lily (Minimal Wear)@340.76@299.8688
AUG | Midnight Lily (Well-Worn)@@
AUG | Momentum (Battle-Scarred)@1.22@1.0735999999999999
AUG | Momentum (Factory New)@17.46@15.3648
AUG | Momentum (Field-Tested)@1.71@1.5048
AUG | Momentum (Minimal Wear)@4.55@4.004
AUG | Momentum (Well-Worn)@1.24@1.0912
