name@price_x@price_after_sell_x@price_y@price_after_sell_y@BUY X@SELL Y@profit
Dual Berettas | Dualing Dragons (Factory New)@4.26@3.7488@12.0@11.76@skinport@csdeals@7.5
Dual Berettas | Elite 1.6 (Factory New)@0.17@0.1496@5.0@4.9@skinport@csdeals@4.73
Dual Berettas | Marina (Factory New)@19.0@16.72@45.0@44.1@skinport@csdeals@25.1
Dual Berettas | Melondrama (Field-Tested)@1.84@1.6192@4.1@4.018@skinport@csdeals@2.18
Dual Berettas | Moon in Libra (Minimal Wear)@2.93@2.5784@7.0@6.859999999999999@skinport@csdeals@3.93
Dual Berettas | Switch Board (Factory New)@5.09@4.4792@11.0@10.78@skinport@csdeals@5.69
Dual Berettas | Tread (Factory New)@1.05@0.924@8.0@7.84@skinport@csdeals@6.79
Elite Trapper Solman | Guerrilla Warfare@11.13@9.7944@14.99@14.6902@skinport@csdeals@3.56
EMS One 2014 Souvenir Package@833.79@733.7352@1112.23@1089.9854@skinport@csdeals@256.2
ESL One Cologne 2015 Legends (Foil)@22.81@20.0728@25.44@24.9312@skinport@csdeals@2.12
eSports 2013 Case@43.4@38.192@49.99@48.9902@skinport@csdeals@5.59
★ Falchion Knife | Fade (Factory New)@389.5@342.76@449.9@440.902@skinport@csdeals@51.4
★ Falchion Knife | Marble Fade (Factory New)@338.96@298.2848@374.95@367.451@skinport@csdeals@28.49
★ Falchion Knife | Night (Field-Tested)@124.84@109.8592@129.9@127.302@skinport@csdeals@2.46
★ Falchion Knife | Rust Coat (Battle-Scarred)@111.29@97.9352@119.99@117.5902@skinport@csdeals@6.3
FAMAS | Cyanospatter (Factory New)@1.14@1.0032@8.0@7.84@skinport@csdeals@6.7
FAMAS | Meow 36 (Factory New)@1.34@1.1792@15.0@14.7@skinport@csdeals@13.36
FAMAS | Sergeant (Minimal Wear)@4.44@3.907200000000001@8.0@7.84@skinport@csdeals@3.4
FAMAS | Teardown (Factory New)@1.21@1.0648@17.0@16.66@skinport@csdeals@15.45
FAMAS | Valence (Factory New)@5.61@4.936800000000001@14.0@13.72@skinport@csdeals@8.11
FAMAS | ZX Spectron (Minimal Wear)@2.31@2.0328@5.6@5.488@skinport@csdeals@3.18
Five-SeveN | Berries And Cherries (Factory New)@64.36@56.6368@72.36@70.9128@skinport@csdeals@6.55
Five-SeveN | Candy Apple (Minimal Wear)@77.56@68.25280000000001@144.74@141.8452@skinport@csdeals@64.29
Five-SeveN | Copper Galaxy (Factory New)@12.79@11.2552@20.99@20.5702@skinport@csdeals@7.78
Five-SeveN | Copper Galaxy (Minimal Wear)@12.24@10.7712@23.0@22.54@skinport@csdeals@10.3
Five-SeveN | Fairy Tale (Field-Tested)@15.58@13.7104@17.99@17.6302@skinport@csdeals@2.05
Five-SeveN | Fall Hazard (Factory New)@424.55@373.604@450.0@441.0@skinport@csdeals@16.45
Five-SeveN | Fowl Play (Battle-Scarred)@1.78@1.5664@4.3@4.214@skinport@csdeals@2.43
Five-SeveN | Fowl Play (Factory New)@8.1@7.128@10.72@10.5056@skinport@csdeals@2.41
Five-SeveN | Fowl Play (Minimal Wear)@3.56@3.1328@10.0@9.8@skinport@csdeals@6.24
Five-SeveN | Kami (Factory New)@1.12@0.9856@20.0@19.6@skinport@csdeals@18.48
Five-SeveN | Monkey Business (Minimal Wear)@13.3@11.704@33.0@32.34@skinport@csdeals@19.04
Five-SeveN | Orange Peel (Factory New)@0.99@0.8712@4.5@4.41@skinport@csdeals@3.42
Five-SeveN | Scrawl (Battle-Scarred)@0.04@0.0352@9.9@9.702@skinport@csdeals@9.66
Five-SeveN | Scumbria (Factory New)@0.39@0.3432@10.0@9.8@skinport@csdeals@9.41
★ Flip Knife | Autotronic (Field-Tested)@323.64@284.8032@389.66@381.8668@skinport@csdeals@58.23
★ Flip Knife | Black Laminate (Field-Tested)@283.0@249.04@410.18@401.9764@skinport@csdeals@118.98
★ Flip Knife | Marble Fade (Factory New)@621.56@546.9728@799.99@783.9902@skinport@csdeals@162.43
★ Flip Knife | Slaughter (Minimal Wear)@427.34@376.0592@479.9@470.302@skinport@csdeals@42.96
★ Flip Knife | Tiger Tooth (Factory New)@432.91@380.9608@556.6@545.468@skinport@csdeals@112.56
G3SG1 | Desert Storm (Factory New)@0.1@0.088@4.0@3.92@skinport@csdeals@3.82
G3SG1 | Digital Mesh (Factory New)@0.61@0.5367999999999999@8.0@7.84@skinport@csdeals@7.23
G3SG1 | Hunter (Factory New)@0.99@0.8712@10.0@9.8@skinport@csdeals@8.81
G3SG1 | Keeping Tabs (Factory New)@1.45@1.276@18.0@17.64@skinport@csdeals@16.19
G3SG1 | Murky (Factory New)@0.67@0.5896@3.0@2.94@skinport@csdeals@2.27
G3SG1 | The Executioner (Minimal Wear)@18.35@16.148@60.0@58.8@skinport@csdeals@40.45
Galil AR | Black Sand (Factory New)@1.0@0.88@4.5@4.41@skinport@csdeals@3.41
Galil AR | Blue Titanium (Factory New)@1.7@1.496@3.8@3.724@skinport@csdeals@2.02
Galil AR | CAUTION! (Factory New)@45.62@40.1456@50.99@49.9702@skinport@csdeals@4.35
Galil AR | Cerberus (Well-Worn)@11.52@10.1376@26.0@25.48@skinport@csdeals@13.96
Galil AR | Chromatic Aberration (Field-Tested)@1.64@1.4431999999999998@3.8@3.724@skinport@csdeals@2.08
Galil AR | Sugar Rush (Minimal Wear)@44.5@39.16@49.99@48.9902@skinport@csdeals@4.49
Glock-18 | Blue Fissure (Factory New)@20.02@17.6176@25.0@24.5@skinport@csdeals@4.48
Glock-18 | Brass (Factory New)@60.88@53.5744@77.93@76.37140000000001@skinport@csdeals@15.49
Glock-18 | Bullet Queen (Well-Worn)@6.02@5.2976@11.8@11.564@skinport@csdeals@5.54
Glock-18 | Bunsen Burner (Factory New)@3.74@3.2912000000000003@8.0@7.84@skinport@csdeals@4.1
Glock-18 | Catacombs (Factory New)@0.41@0.3607999999999999@7.0@6.859999999999999@skinport@csdeals@6.45
Glock-18 | Fade (Factory New)@1488.0@1309.44@2100.0@2058.0@skinport@csdeals@570.0
Glock-18 | Franklin (Factory New)@36.0@31.68@44.99@44.0902@skinport@csdeals@8.09
