name@price_x@price_after_sell_x@price_y@price_after_sell_y@BUY X@SELL Y@profit
★ Flip Knife | Rust Coat (Battle-Scarred)@149.14@141.683@195.79@186.0005@skinwallet@shadowpay@36.86
★ Flip Knife | Scorched (Well-Worn)@125.83@119.5385@205.0@194.75@skinwallet@shadowpay@68.92
★ Flip Knife | Stained (Minimal Wear)@180.34@171.323@251.1@238.545@skinwallet@shadowpay@58.2
★ Gut Knife | Case Hardened (Field-Tested)@118.5@112.575@232.56@220.932@skinwallet@shadowpay@102.43
★ Gut Knife | Lore (Field-Tested)@149.58@142.101@216.19@205.3805@skinwallet@shadowpay@55.8
★ Gut Knife | Scorched (Minimal Wear)@124.43@118.2085@148.32@140.904@skinwallet@shadowpay@16.47
★ Gut Knife | Slaughter (Factory New)@169.86@161.36700000000002@244.81@232.5695@skinwallet@shadowpay@62.71
★ Hand Wraps | Arboreal (Minimal Wear)@109.79@104.3005@148.22@140.809@skinwallet@shadowpay@31.02
★ Hand Wraps | Desert Shamagh (Field-Tested)@51.91@49.3145@65.87@62.5765@skinwallet@shadowpay@10.67
★ Hand Wraps | Duct Tape (Field-Tested)@50.7@48.165@68.48@65.056@skinwallet@shadowpay@14.36
★ Huntsman Knife | Lore (Battle-Scarred)@161.84@153.748@205.98@195.681@skinwallet@shadowpay@33.84
★ Huntsman Knife | Slaughter (Factory New)@340.17@323.1615@464.13@440.9235@skinwallet@shadowpay@100.75
★ Hydra Gloves | Case Hardened (Battle-Scarred)@52.19@49.5805@75.31@71.5445@skinwallet@shadowpay@19.35
★ Hydra Gloves | Emerald (Battle-Scarred)@45.73@43.44349999999999@67.12@63.764@skinwallet@shadowpay@18.03
★ Karambit | Bright Water (Factory New)@708.34@672.923@1000.0@950.0@skinwallet@shadowpay@241.66
★ M9 Bayonet | Autotronic (Field-Tested)@867.05@823.6974999999999@1169.65@1111.1675@skinwallet@shadowpay@244.12
★ M9 Bayonet | Black Laminate (Field-Tested)@694.96@660.212@884.99@840.7405@skinwallet@shadowpay@145.78
★ Moto Gloves | Smoke Out (Field-Tested)@159.29@151.32549999999998@210.29@199.7755@skinwallet@shadowpay@40.49
★ Moto Gloves | Transport (Minimal Wear)@147.23@139.86849999999998@190.0@180.5@skinwallet@shadowpay@33.27
