name@price_x@price_after_sell_x@price_y@price_after_sell_y@BUY X@SELL Y@profit
★ Classic Knife | Safari Mesh (Field-Tested)@134.87@118.6856@158.15@150.2425@skinport@shadowpay@15.37
★ Classic Knife | Safari Mesh (Minimal Wear)@164.36@144.63680000000002@198.99@189.0405@skinport@shadowpay@24.68
★ Classic Knife | Scorched (Field-Tested)@146.87@129.2456@158.66@150.727@skinport@shadowpay@3.86
★ Classic Knife | Scorched (Minimal Wear)@166.98@146.9424@268.12@254.714@skinport@shadowpay@87.73
★ Classic Knife | Scorched (Well-Worn)@226.73@199.5224@260.0@247.0@skinport@shadowpay@20.27
★ Classic Knife | Slaughter (Field-Tested)@363.84@320.1792@446.9@424.555@skinport@shadowpay@60.72
★ Classic Knife | Slaughter (Minimal Wear)@384.71@338.5448@412.15@391.5425@skinport@shadowpay@6.83
CZ75-Auto | Emerald Quartz (Factory New)@85.0@74.8@167.55@159.1725@skinport@shadowpay@74.17
CZ75-Auto | Victoria (Well-Worn)@7.57@6.6616@13.08@12.426@skinport@shadowpay@4.86
CZ75-Auto | Xiangliu (Battle-Scarred)@6.12@5.3856@8.95@8.5025@skinport@shadowpay@2.38
Desert Eagle | Blaze (Factory New)@600.0@528.0@693.88@659.1859999999999@skinport@shadowpay@59.19
Desert Eagle | Blaze (Minimal Wear)@708.69@623.6472@749.0@711.55@skinport@shadowpay@2.86
Desert Eagle | Cobalt Disruption (Factory New)@86.81@76.39280000000001@97.18@92.321@skinport@shadowpay@5.51
Desert Eagle | Crimson Web (Factory New)@132.43@116.5384@163.22@155.059@skinport@shadowpay@22.63
Desert Eagle | Directive (Factory New)@9.59@8.4392@12.9@12.255@skinport@shadowpay@2.67
Desert Eagle | Emerald Jörmungandr (Minimal Wear)@264.62@232.8656@307.78@292.391@skinport@shadowpay@27.77
Desert Eagle | Fennec Fox (Battle-Scarred)@330.6@290.928@360.0@342.0@skinport@shadowpay@11.4
Desert Eagle | Golden Koi (Minimal Wear)@66.87@58.845600000000005@80.99@76.94049999999999@skinport@shadowpay@10.07
Desert Eagle | Heirloom (Factory New)@21.13@18.5944@24.96@23.712@skinport@shadowpay@2.58
Desert Eagle | Hypnotic (Factory New)@118.41@104.2008@136.54@129.713@skinport@shadowpay@11.3
Desert Eagle | Midnight Storm (Battle-Scarred)@17.81@15.6728@25.64@24.358@skinport@shadowpay@6.55
Desert Eagle | Midnight Storm (Factory New)@22.39@19.7032@26.37@25.0515@skinport@shadowpay@2.66
Desert Eagle | Ocean Drive (Factory New)@145.0@127.6@159.84@151.84799999999998@skinport@shadowpay@6.85
Desert Eagle | Pilot (Battle-Scarred)@55.64@48.9632@150.47@142.9465@skinport@shadowpay@87.31
Desert Eagle | Pilot (Well-Worn)@56.76@49.9488@67.72@64.33399999999999@skinport@shadowpay@7.57
Desert Eagle | Printstream (Factory New)@100.16@88.1408@111.82@106.22899999999998@skinport@shadowpay@6.07
Desert Eagle | Printstream (Well-Worn)@36.73@32.322399999999995@44.25@42.0375@skinport@shadowpay@5.31
Desert Eagle | Sunset Storm 壱 (Factory New)@299.37@263.4456@511.18@485.621@skinport@shadowpay@186.25
★ Driver Gloves | Black Tie (Field-Tested)@202.4@178.112@225.0@213.75@skinport@shadowpay@11.35
★ Driver Gloves | Black Tie (Minimal Wear)@657.87@578.9256@851.65@809.0675@skinport@shadowpay@151.2
★ Driver Gloves | Convoy (Battle-Scarred)@67.41@59.3208@74.32@70.60399999999998@skinport@shadowpay@3.19
